csrw,3
fscsr,1
unimp,56023
fmadd.s,62
fmsub.s,54
fnmsub.s,66
fnmadd.s,62
fadd.s,128
fmv.w.x,32
fld,3571
fsd,3332
feq.d,2
fmv.x.d,1
fence,5
nop,1


total instructions,165800

integer computation,17696
branching,191
memory access,33577
mul and div,9
csr,105796
floating point operations,8523
misc,8

addi,2086
xori,4219
ori,1
andi,10
slli,25
srai,1
li,3910
lui,353
auipc,119
add,31
sub,8
xor,308
or,6
and,1
addiw,24
slliw,3
srliw,1
slli,25
srli,1
srai,1
addw,15
subw,3
c.li,6445
mv,81
not,1
neg,2
sext.w,16
jal,20
jalr,12
beq,11
bne,11
blt,7
bge,2
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,20
beqz,17
j,38
jr,1
ret,27
mret,1
lw,24342
lbu,28
sb,8
sw,4988
ld,2135
sd,2075
lwu,1
divu,1
remu,2
mulw,5
divw,1
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,105785
fmadd.s,637
fmsub.s,670
fnmsub.s,671
fnmadd.s,665
fadd.s,1318
fmv.w.x,32
fld,2383
fsd,2145
feq.d,2
fence,8


total instructions,165744

integer computation,17670
branching,182
memory access,33564
mul and div,3
csr,105797
floating point operations,8523
misc,5

addi,2083
xori,4219
ori,1
andi,10
slli,21
srai,1
li,3910
lui,353
auipc,115
add,35
sub,8
xor,308
or,6
and,1
addiw,20
slliw,3
srliw,1
slli,21
srli,1
srai,1
addw,14
subw,3
c.li,6445
mv,75
not,1
neg,2
sext.w,12
jal,17
jalr,12
beq,10
bne,10
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,17
j,37
jr,1
ret,27
mret,1
lw,24339
lbu,28
sb,8
sw,4986
ld,2132
sd,2070
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,105786
fmadd.s,637
fmsub.s,670
fnmsub.s,671
fnmadd.s,665
fadd.s,1318
fmv.w.x,32
fld,2383
fsd,2145
feq.d,2
fence,5


total instructions,727509

integer computation,493
branching,182
memory access,377157
mul and div,3
csr,175544
floating point operations,174125
misc,5

addi,106
ori,1
andi,10
slli,20
srai,1
li,107
lui,4
auipc,39
add,35
sub,9
or,6
and,1
addiw,20
slliw,4
srliw,1
slli,20
srli,1
srai,1
addw,14
subw,3
mv,76
not,1
neg,2
sext.w,11
jal,17
jalr,12
beq,10
bne,11
blt,6
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,16
j,37
jr,1
ret,27
mret,1
lw,310678
lbu,28
lhu,20
sb,8
sw,7
ld,66284
sd,131
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,175533
fmv.w.x,32
fld,174093
fence,5


